IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,Grain_Size,PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),Hardness,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),Yield_Strength,Tensile_Strength,PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
27,Al0.25 Co1 Fe1 Ni1,FCC,CAST,FCC,20.0,,7.9,138.0,C,25.0,158.0,1004.0,,,,192.0,,,
27,Al0.5 Co1 Fe1 Ni1,FCC+BCC,CAST,other,20.0,,7.4,212.0,C,25.0,346.0,1004.0,,,,,,,
27,Al0.75 Co1 Fe1 Ni1,FCC+BCC,CAST,other,20.0,,7.0,385.0,C,25.0,794.0,1004.0,,,,,,,
27,Al1 Co1 Fe1 Ni1,BCC,CAST,BCC,20.0,,6.6,456.0,C,25.0,964.0,1004.0,,,,162.0,,,
27,Co1 Fe1 Ni1,FCC,CAST,FCC,20.0,,8.5,125.0,C,25.0,204.0,1004.0,,,,207.0,,,
27,Co1 Fe1 Ni1,FCC,CAST,FCC,20.0,,8.5,125.0,C,25.0,209.0,1004.0,,,,207.0,,,
27,Co1 Fe1 Ni1 Si0.25,FCC,CAST,FCC,20.0,,7.7,149.0,C,25.0,196.0,1004.0,,,,186.0,,,
27,Co1 Fe1 Ni1 Si0.5,FCC+Sec.,CAST,other,20.0,,7.1,287.0,C,25.0,476.0,1004.0,,,,,,,
27,Co1 Fe1 Ni1 Si0.75,FCC+Sec.,CAST,other,20.0,,6.6,570.0,C,25.0,1301.0,1004.0,,,,,,,
37,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,24.0,,8.2,476.0,T,25.0,274.0,708.0,39.0,,,226.0,,,
37,Co1 Cr1 Mn1 Ni1,FCC,WROUGHT,FCC,36.0,,8.1,476.0,T,25.0,282.0,694.0,44.0,,,222.0,,,
37,Co1 Cr1 Ni1,FCC,WROUGHT,FCC,41.0,,8.3,476.0,T,25.0,300.0,860.0,60.0,,,231.0,,,
37,Co1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,48.0,,8.2,476.0,T,25.0,170.0,550.0,41.0,,,204.0,,,
37,Co1 Fe1 Ni1,FCC,WROUGHT,FCC,28.0,,8.5,476.0,T,25.0,211.0,513.0,31.0,,,207.0,,,
37,Co1 Mn1 Ni1,FCC,WROUGHT,FCC,32.0,,8.4,476.0,T,25.0,231.0,653.0,38.0,,,202.0,,,
37,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,30.0,,8.1,476.0,T,25.0,221.0,602.0,36.0,,,203.0,,,
46,Co1 Cr1 Fe1 Nb0.103 Ni1,FCC+Sec.,CAST,other,175.0,,8.2,476.0,T,25.0,318.0,622.0,19.0,,,,,,
46,Co1 Cr1 Fe1 Nb0.155 Ni1,FCC+Sec.,CAST,other,175.0,,8.2,476.0,T,25.0,322.0,744.0,23.0,,,,,,
46,Co1 Cr1 Fe1 Nb0.206 Ni1,FCC+Sec.,CAST,other,175.0,,8.2,476.0,T,25.0,403.0,807.0,9.0,,,,,,
46,Co1 Cr1 Fe1 Nb0.309 Ni1,FCC+Sec.,CAST,other,175.0,,8.2,476.0,T,25.0,479.0,879.0,4.0,,,,,,
46,Co1 Cr1 Fe1 Nb0.412 Ni1,FCC+Sec.,CAST,other,175.0,,8.2,476.0,T,25.0,638.0,1004.0,1.0,,,,,,
46,Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,175.0,,8.2,476.0,T,25.0,148.0,413.0,48.0,,,226.0,,,
54,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,20.0,,7.7,110.0,,25.0,822.0,1004.0,,,,213.0,,,
54,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,20.0,,7.7,113.0,,25.0,822.0,1004.0,,,,213.0,,,
54,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,20.0,,7.5,131.0,,25.0,822.0,1004.0,,,,207.0,,,
54,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,20.0,,7.5,196.0,,25.0,822.0,1004.0,,,,207.0,,,
54,Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,20.0,,7.3,159.0,,25.0,822.0,1004.0,,,,,,,
54,Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,20.0,,7.3,209.0,,25.0,822.0,1004.0,,,,,,,
54,Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,20.0,,7.0,388.0,,25.0,822.0,1004.0,,,,,,,
54,Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,20.0,,7.0,280.0,,25.0,822.0,1004.0,,,,,,,
54,Al0.875 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,BCC,20.0,,6.9,538.0,,25.0,822.0,1004.0,,,,188.0,,,
54,Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,20.0,,6.9,361.0,,25.0,822.0,1004.0,,,,,,,
54,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,20.0,,6.5,487.0,,25.0,822.0,1004.0,,,,177.0,,,
54,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,20.0,,6.5,499.0,,25.0,822.0,1004.0,,,,177.0,,,
54,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,BCC,20.0,,6.2,484.0,,25.0,822.0,1004.0,,,,171.0,,,
